Date,Close,High,Low,Open,Volume
2020-07-28,23181.0,23195.0,22762.05859375,23181.0,0
2020-07-29,23170.0,23179.0,22811.921875,23170.0,0
2020-07-30,23175.0,23176.0,22773.7109375,23175.0,0
2020-07-31,23175.0,23177.0,22610.673828125,22610.673828125,0
2020-08-03,23170.0,23176.0,22820.130859375,23170.0,0
2020-08-04,23170.0,23176.0,22780.0390625,22780.0390625,0
2020-08-05,23175.0,23175.0,22760.48828125,22760.48828125,0
2020-08-06,23174.0,23175.0,22850.3828125,23174.0,0
2020-08-07,23173.0,23175.0,22774.94921875,23173.0,0
2020-08-10,22903.845703125,23175.0,22834.646484375,23173.0,0
2020-08-11,23170.0,23174.0,22850.498046875,23170.0,0
2020-08-12,23174.0,23175.0,22843.142578125,22947.67578125,0
2020-08-13,23175.0,23178.0,22781.228515625,22781.228515625,0
2020-08-14,23174.0,23176.0,22830.34375,23174.0,0
2020-08-17,23174.0,23185.0,22837.01171875,23174.0,0
2020-08-18,23174.0,23175.0,22760.76171875,22760.76171875,0
2020-08-19,23174.0,23175.0,22750.48046875,23174.0,0
2020-08-20,23174.0,23175.0,22851.87890625,23174.0,0
2020-08-21,23174.0,23176.0,22769.3203125,22769.3203125,0
2020-08-24,23175.0,23185.0,22845.71875,23175.0,0
2020-08-25,23177.0,23177.0,22901.572265625,23177.0,0
2020-08-26,23170.0,23175.0,22827.046875,23170.0,0
2020-08-27,23174.0,23175.0,22784.33984375,23174.0,0
2020-08-28,23174.0,23175.0,22812.970703125,22812.970703125,0
2020-08-31,23174.0,23174.0,22819.708984375,23174.0,0
2020-09-01,23174.0,23174.0,22796.490234375,22796.490234375,0
2020-09-02,23174.0,23174.0,22834.310546875,23174.0,0
2020-09-03,23174.0,23174.0,22847.994140625,23174.0,0
2020-09-04,23174.0,23178.0,23170.0,23174.0,0
2020-09-07,23178.0,23178.0,22836.66796875,23178.0,0
2020-09-08,23174.0,23178.0,22847.599609375,23174.0,0
2020-09-09,23176.0,23185.0,22831.67578125,23176.0,0
2020-09-10,23175.0,23178.0,22728.638671875,23175.0,0
2020-09-11,23173.0,23176.0,22836.40234375,23173.0,0
2020-09-14,23174.0,23181.0,22840.5625,23174.0,0
2020-09-15,23175.0,23176.0,22843.455078125,23175.0,0
2020-09-16,23175.0,23178.0,22841.83203125,22964.865234375,0
2020-09-17,23178.0,23178.0,22855.1796875,23178.0,0
2020-09-18,23170.0,23180.0,22735.056640625,22735.056640625,0
2020-09-21,23170.0,23182.0,23170.0,23170.0,0
2020-09-22,23178.0,23179.0,22852.232421875,22874.37890625,0
2020-09-23,23177.0,23185.0,22997.302734375,23177.0,0
2020-09-24,23185.0,23185.0,22831.0703125,22914.052734375,0
2020-09-25,23184.0,23195.0,22793.79296875,23184.0,0
2020-09-28,23191.0,23191.0,22842.6875,23191.0,0
2020-09-29,23188.0,23190.0,22814.02734375,23188.0,0
2020-09-30,23190.0,23190.0,22848.185546875,23190.0,0
2020-10-01,23181.0,23188.0,22823.912109375,23181.0,0
2020-10-02,23188.0,23194.0,22853.7265625,23188.0,0
2020-10-05,23191.0,23203.0,22858.625,23191.0,0
2020-10-06,23203.0,23206.0,22788.353515625,22788.353515625,0
2020-10-07,23205.0,23205.0,22862.51171875,23205.0,0
2020-10-08,23205.0,23205.0,22853.669921875,23205.0,0
2020-10-09,23191.0,23205.0,22848.693359375,23191.0,0
2020-10-12,23180.0,23190.0,22843.408203125,23180.0,0
2020-10-13,23178.0,23181.0,22833.728515625,23178.0,0
2020-10-14,23177.0,23177.0,22835.1328125,23177.0,0
2020-10-15,23175.0,23177.0,22806.951171875,23175.0,0
2020-10-16,23170.0,23180.0,22850.556640625,23170.0,0
2020-10-19,23175.0,23177.0,22836.650390625,23175.0,0
2020-10-20,23175.0,23179.0,22787.4609375,22819.97265625,0
