symbol,organ_name,com_type_code,icb_level,icb_code,icb_name
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,CT,1,5000,Dịch vụ Tiêu dùng
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,CT,2,5300,Bán lẻ
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,CT,3,5330,Phân phối thực phẩm & dược phẩm
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,CT,4,5337,Phân phối thực phẩm
AIC,Công ty Cổ phần Tập đoàn Bảo hiểm DBV,BH,1,8000,Tài chính
AIC,Công ty Cổ phần Tập đoàn Bảo hiểm DBV,BH,2,8500,Bảo hiểm
AIC,Công ty Cổ phần Tập đoàn Bảo hiểm DBV,BH,3,8530,Bảo hiểm phi nhân thọ
AIC,Công ty Cổ phần Tập đoàn Bảo hiểm DBV,BH,4,8536,Bảo hiểm phi nhân thọ
AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,CT,1,3000,Hàng Tiêu dùng
AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,CT,2,3500,Thực phẩm và đồ uống
AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,CT,3,3570,Sản xuất thực phẩm
AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,CT,4,3577,Thực phẩm
ALC,Công ty Cổ phần Âu Lạc,CT,1,2000,Công nghiệp
ALC,Công ty Cổ phần Âu Lạc,CT,2,2700,Hàng & Dịch vụ Công nghiệp
ALC,Công ty Cổ phần Âu Lạc,CT,3,2770,Vận tải
ALC,Công ty Cổ phần Âu Lạc,CT,4,2773,Vận tải Thủy
ALT,Công ty Cổ phần Văn hóa Tân Bình,CT,1,5000,Dịch vụ Tiêu dùng
ALT,Công ty Cổ phần Văn hóa Tân Bình,CT,2,5500,Truyền thông
ALT,Công ty Cổ phần Văn hóa Tân Bình,CT,3,5550,Truyền thông
ALT,Công ty Cổ phần Văn hóa Tân Bình,CT,4,5557,"Sách, ấn bản & sản phẩm văn hóa"
ALV,Công ty Cổ phần Tập đoàn MCST,CT,1,2000,Công nghiệp
ALV,Công ty Cổ phần Tập đoàn MCST,CT,2,2300,Xây dựng và Vật liệu
ALV,Công ty Cổ phần Tập đoàn MCST,CT,3,2350,Xây dựng và Vật liệu
ALV,Công ty Cổ phần Tập đoàn MCST,CT,4,2357,Xây dựng
AMC,Công ty Cổ phần Khoáng sản Á Châu,CT,1,1000,Nguyên vật liệu
AMC,Công ty Cổ phần Khoáng sản Á Châu,CT,2,1700,Tài nguyên Cơ bản
AMC,Công ty Cổ phần Khoáng sản Á Châu,CT,3,1770,Khai khoáng
AMC,Công ty Cổ phần Khoáng sản Á Châu,CT,4,1775,Khai khoáng
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,CT,1,8000,Tài chính
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,CT,2,8600,Bất động sản
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,CT,3,8630,Bất động sản
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,CT,4,8633,Bất động sản
AME,Công ty cổ phần Alphanam E&C,CT,1,2000,Công nghiệp
AME,Công ty cổ phần Alphanam E&C,CT,2,2700,Hàng & Dịch vụ Công nghiệp
AME,Công ty cổ phần Alphanam E&C,CT,3,2730,Điện tử & Thiết bị điện
AME,Công ty cổ phần Alphanam E&C,CT,4,2737,Thiết bị điện
AMP,Công ty Cổ phần Armephaco,CT,1,4000,Dược phẩm và Y tế
AMP,Công ty Cổ phần Armephaco,CT,2,4500,Y tế
AMP,Công ty Cổ phần Armephaco,CT,3,4570,Dược phẩm
AMP,Công ty Cổ phần Armephaco,CT,4,4577,Dược phẩm
AMS,Công ty Cổ phần Cơ khí Xây dựng AMECC,CT,1,2000,Công nghiệp
