time,usepuindxd,epu_log
2019-04-22,78.68,4.365388993520859
2019-04-23,56.96,4.04234926710372
2019-04-24,60.14,4.096675177560383
2019-04-25,76.31,4.334803991301542
2019-04-26,67.89,4.217888748313555
2019-05-02,30.2,3.407841924380824
2019-05-03,57.65,4.054390246715068
2019-05-06,93.78,4.5409516136614405
2019-05-07,111.09,4.710340683593631
2019-05-08,101.81,4.623108331119105
2019-05-09,67.46,4.2115348296335045
2019-05-10,108.12,4.683241721408247
2019-05-13,94.65,4.550185877655332
2019-05-14,126.65,4.841427376447684
2019-05-15,132.3,4.88507207112091
2019-05-16,94.72,4.550925171135695
2019-05-17,117.89,4.769751986304036
2019-05-20,95.08,4.554718642491993
2019-05-21,73.8,4.301358731606427
2019-05-22,69.8,4.245634009768327
2019-05-23,71.04,4.2632430986839145
2019-05-24,144.24,4.971478578895062
2019-05-27,102.04,4.625364893273611
2019-05-28,69.48,4.241038941372905
2019-05-29,55.62,4.018542848805819
2019-05-30,50.84,3.928683446321253
2019-05-31,94.35,4.547011271814559
2019-06-03,72.86,4.288539791580417
2019-06-04,120.06,4.787991617823697
2019-06-05,217.51,5.382244826483323
2019-06-06,137.43,4.923114696566761
2019-06-07,242.25,5.489970250770876
2019-06-10,162.1,5.08821342874163
2019-06-11,130.24,4.869378902254231
2019-06-12,116.03,4.753848778359454
2019-06-13,143.87,4.968910114048942
2019-06-14,145.07,4.977216384550811
2019-06-17,82.16,4.408668565620303
2019-06-18,146.35,4.986001013137895
2019-06-19,77.89,4.355297574931857
2019-06-20,116.67,4.759349436835766
2019-06-21,178.92,5.186938778564647
2019-06-24,92.75,4.529907701487544
2019-06-25,74.19,4.306629370201435
2019-06-26,142.51,4.959412172685121
2019-06-27,64.08,4.160132302760104
2019-06-28,129.48,4.863526429058044
2019-07-01,174.62,5.162612184382661
2019-07-02,144.12,4.9706462858798925
2019-07-03,126.27,4.838422471450589
2019-07-04,96.84,4.573060132069858
2019-07-05,72.83,4.288127958229824
2019-07-08,72.06,4.277499105319947
2019-07-09,40.14,3.692373343368192
2019-07-10,45.62,3.820346216856242
2019-07-11,103.84,4.64285125295578
2019-07-12,72.49,4.283448621312786
2019-07-15,72.19,4.279301532151069
2019-07-16,53.41,3.977997994351679
2019-07-17,77.06,4.344584339198011
2019-07-18,61.63,4.121148764974151
2019-07-19,61.84,4.124550404279167
2019-07-22,75.32,4.321745703788952
2019-07-23,114.24,4.738301498591274
2019-07-24,79.72,4.378520495344594
2019-07-25,40.68,3.70573657118036
2019-07-26,116.11,4.7545380176389145
2019-07-29,86.97,4.465563231601674
2019-07-30,139.24,4.936199062943238
2019-07-31,103.01,4.634826070895602
2019-08-01,150.2,5.011967739330034
2019-08-02,117.41,4.76567208264212
2019-08-05,83.03,4.419201988273939
2019-08-06,84.05,4.431411859854625
2019-08-07,92.22,4.52417702677856
2019-08-08,93.48,4.537747509670657
2019-08-09,92.35,4.5255857066452485
2019-08-12,109.59,4.696746129475301
2019-08-13,70.1,4.249922794040544
2019-08-14,133.71,4.895673275626574
2019-08-15,144.25,4.971547905388209
2019-08-16,105.71,4.660699495780571
2019-08-19,144.84,4.975629684897441
2019-08-20,229.29,5.434987577922902
2019-08-21,278.29,5.62866373543926
2019-08-22,186.06,5.226069202340413
2019-08-23,268.83,5.594079209564238
2019-08-26,267.98,5.590912350860462
2019-08-27,173.5,5.156177599386914
2019-08-28,132.75,4.888467660122048
2019-08-29,100.25,4.607667066186679
2019-08-30,116.43,4.7572902340489245
2019-09-03,95.61,4.560277417097355
