time,close,high,low,open,volume,fx_log_ret
2020-08-12,23174.0,23175.0,22843.142578125,22947.67578125,0.0,0.0001726221305856
2020-08-13,23175.0,23178.0,22781.228515625,22781.228515625,0.0,4.315087704831768e-05
2020-08-14,23174.0,23176.0,22830.34375,23174.0,0.0,-4.315087704828573e-05
2020-08-17,23174.0,23185.0,22837.01171875,23174.0,0.0,0.0
2020-08-18,23174.0,23175.0,22760.76171875,22760.76171875,0.0,0.0
2020-08-19,23174.0,23175.0,22750.48046875,23174.0,0.0,0.0
2020-08-20,23174.0,23175.0,22851.87890625,23174.0,0.0,0.0
2020-08-21,23174.0,23176.0,22769.3203125,22769.3203125,0.0,0.0
2020-08-24,23175.0,23185.0,22845.71875,23175.0,0.0,4.315087704831768e-05
2020-08-25,23177.0,23177.0,22901.572265625,23177.0,0.0,8.629616850370356e-05
2020-08-26,23170.0,23175.0,22827.046875,23170.0,0.0,-0.0003020691761376
2020-08-27,23174.0,23175.0,22784.33984375,23174.0,0.0,0.0001726221305856
2020-08-28,23174.0,23175.0,22812.970703125,22812.970703125,0.0,0.0
2020-08-31,23174.0,23174.0,22819.708984375,23174.0,0.0,0.0
2020-09-01,23174.0,23174.0,22796.490234375,22796.490234375,0.0,0.0
2020-09-03,23174.0,23174.0,22847.994140625,23174.0,0.0,0.0
2020-09-04,23174.0,23178.0,23170.0,23174.0,0.0,0.0
2020-09-07,23178.0,23178.0,22836.66796875,23178.0,0.0,0.0001725923373286
2020-09-08,23174.0,23178.0,22847.599609375,23174.0,0.0,-0.0001725923373286
2020-09-09,23176.0,23185.0,22831.67578125,23176.0,0.0,8.629989217878842e-05
2020-09-10,23175.0,23178.0,22728.638671875,23175.0,0.0,-4.314901513037281e-05
2020-09-11,23173.0,23176.0,22836.40234375,23173.0,0.0,-8.630361617511212e-05
2020-09-14,23174.0,23181.0,22840.5625,23174.0,0.0,4.315273912683544e-05
2020-09-15,23175.0,23176.0,22843.455078125,23175.0,0.0,4.315087704831768e-05
2020-09-16,23175.0,23178.0,22841.83203125,22964.865234375,0.0,0.0
2020-09-17,23178.0,23178.0,22855.1796875,23178.0,0.0,0.0001294414602803
2020-09-18,23170.0,23180.0,22735.056640625,22735.056640625,0.0,-0.0003452144679144
2020-09-21,23170.0,23182.0,23170.0,23170.0,0.0,0.0
2020-09-22,23178.0,23179.0,22852.232421875,22874.37890625,0.0,0.0003452144679144
2020-09-23,23177.0,23185.0,22997.302734375,23177.0,0.0,-4.3145291776748014e-05
2020-09-24,23185.0,23185.0,22831.0703125,22914.052734375,0.0,0.0003451102230016
2020-09-25,23184.0,23195.0,22793.79296875,23184.0,0.0,-4.313226509762021e-05
2020-09-28,23191.0,23191.0,22842.6875,23191.0,0.0,0.0003018867947456
2020-09-29,23188.0,23190.0,22814.02734375,23188.0,0.0,-0.0001293688955857
2020-09-30,23190.0,23190.0,22848.185546875,23190.0,0.0,8.624778995376951e-05
2020-10-01,23181.0,23188.0,22823.912109375,23181.0,0.0,-0.0003881736478837
2020-10-02,23188.0,23194.0,22853.7265625,23188.0,0.0,0.0003019258579298
2020-10-05,23191.0,23203.0,22858.625,23191.0,0.0,0.0001293688955857
2020-10-06,23203.0,23206.0,22788.353515625,22788.353515625,0.0,0.0005173082841577
2020-10-07,23205.0,23205.0,22862.51171875,23205.0,0.0,8.61920359093276e-05
2020-10-08,23205.0,23205.0,22853.669921875,23205.0,0.0,0.0
2020-10-09,23191.0,23205.0,22848.693359375,23191.0,0.0,-0.000603500320067
2020-10-12,23180.0,23190.0,22843.408203125,23180.0,0.0,-0.0004744344614664
2020-10-13,23178.0,23181.0,22833.728515625,23178.0,0.0,-8.628499940635974e-05
2020-10-14,23177.0,23177.0,22835.1328125,23177.0,0.0,-4.3145291776748014e-05
2020-10-15,23175.0,23177.0,22806.951171875,23175.0,0.0,-8.629616850363517e-05
2020-10-16,23170.0,23180.0,22850.556640625,23170.0,0.0,-0.0002157730076339
2020-10-19,23175.0,23177.0,22836.650390625,23175.0,0.0,0.0002157730076339
2020-10-20,23175.0,23179.0,22787.4609375,22819.97265625,0.0,0.0
2020-10-21,23179.0,23180.0,22838.857421875,23179.0,0.0,0.0001725848906212
2020-10-22,23177.0,23179.0,22845.064453125,22865.849609375,0.0,-8.628872211751879e-05
2020-10-23,23176.0,23180.0,22842.017578125,23177.0,0.0,-4.314715337323058e-05
2020-10-26,23176.0,23177.0,22836.21484375,23177.0,0.0,0.0
2020-10-27,23175.0,23176.0,22839.98046875,22839.98046875,0.0,-4.314901513037281e-05
2020-10-28,23175.0,23177.0,22840.951171875,23175.0,0.0,0.0
2020-10-29,23176.0,23181.0,22794.8125,23176.0,0.0,4.314901513032778e-05
2020-10-30,23170.0,23180.0,22836.583984375,22877.634765625,0.0,-0.0002589220227644
2020-11-02,23180.0,23177.0,22836.150390625,23177.0,0.0,0.0004314994673207
2020-11-03,23177.0,23177.0,22833.91015625,23177.0,0.0,-0.000129430291183
2020-11-04,23176.0,23177.0,22819.45703125,22876.8984375,0.0,-4.314715337323058e-05
2020-11-05,23176.0,23177.0,23175.0,23175.0,0.0,0.0
2020-11-06,23175.0,23180.0,22829.828125,23175.0,0.0,-4.314901513037281e-05
2020-11-09,23176.0,23176.0,22859.98046875,23176.0,0.0,4.314901513032778e-05
2020-11-10,23170.0,23175.0,22823.919921875,23170.0,0.0,-0.0002589220227644
2020-11-11,23173.0,23175.0,22786.9609375,23173.0,0.0,0.0001294693914589
