date,user_tier,capital_tier,ticker,action,shares,price,total_cost,buy_factor_pct
03/04/2026,100M,100000000,MBB,SELL,100,24950.0,-2495000.0,100
03/04/2026,100M,100000000,DGW,BUY,100,42860.0,4286000.0,100
03/04/2026,250M,250000000,VSC,SELL,100,23800.0,-2380000.0,100
03/04/2026,250M,250000000,HDG,SELL,100,26380.0,-2638000.0,100
03/04/2026,250M,250000000,DBC,BUY,100,20100.0,2010000.0,100
03/04/2026,250M,250000000,NLG,BUY,100,27570.0,2757000.0,100
03/04/2026,500M,500000000,GAS,SELL,100,79700.0,-7970000.0,100
03/04/2026,500M,500000000,HDC,SELL,100,16090.0,-1609000.0,100
03/04/2026,500M,500000000,HDG,SELL,100,26380.0,-2638000.0,100
03/04/2026,500M,500000000,MBB,SELL,100,24950.0,-2495000.0,100
03/04/2026,500M,500000000,VND,SELL,100,15210.0,-1521000.0,100
03/04/2026,500M,500000000,VSC,SELL,100,23800.0,-2380000.0,100
03/04/2026,500M,500000000,DGW,BUY,100,42860.0,4286000.0,100
03/04/2026,500M,500000000,VIC,BUY,100,141000.0,14100000.0,100
06/04/2026,50M,50000000,DBC,SELL,100,19660.0,-1966000.0,100
06/04/2026,50M,50000000,TCH,BUY,100,15800.0,1580000.0,100
06/04/2026,100M,100000000,DXG,SELL,100,12170.0,-1217000.0,100
06/04/2026,100M,100000000,VIC,SELL,100,141600.0,-14160000.0,100
06/04/2026,100M,100000000,DBC,BUY,100,19660.0,1966000.0,100
06/04/2026,100M,100000000,MBB,BUY,100,24660.0,2466000.0,100
06/04/2026,100M,100000000,NLG,BUY,100,27180.0,2718000.0,100
06/04/2026,100M,100000000,TCH,BUY,100,15800.0,1580000.0,100
06/04/2026,100M,100000000,VCB,BUY,100,58000.0,5800000.0,100
06/04/2026,250M,250000000,VIC,SELL,100,141600.0,-14160000.0,100
06/04/2026,250M,250000000,HDG,BUY,100,25100.0,2510000.0,100
06/04/2026,250M,250000000,MBB,BUY,100,24660.0,2466000.0,100
06/04/2026,250M,250000000,PDR,BUY,100,15550.0,1555000.0,100
06/04/2026,250M,250000000,TCH,BUY,100,15800.0,1580000.0,100
06/04/2026,250M,250000000,VCB,BUY,100,58000.0,5800000.0,100
06/04/2026,500M,500000000,VIC,SELL,100,141600.0,-14160000.0,100
06/04/2026,500M,500000000,CII,BUY,100,17400.0,1740000.0,100
06/04/2026,500M,500000000,HDC,BUY,100,15570.0,1557000.0,100
06/04/2026,500M,500000000,HDG,BUY,100,25100.0,2510000.0,100
06/04/2026,500M,500000000,MBB,BUY,100,24660.0,2466000.0,100
06/04/2026,500M,500000000,NLG,BUY,100,27180.0,2718000.0,100
06/04/2026,500M,500000000,PDR,BUY,100,15550.0,1555000.0,100
06/04/2026,500M,500000000,TCH,BUY,100,15800.0,1580000.0,100
07/04/2026,50M,50000000,TCH,SELL,100,16149.999999999998,-1614999.9999999998,100
07/04/2026,50M,50000000,DBC,BUY,100,19750.0,1975000.0,100
07/04/2026,100M,100000000,VIX,SELL,100,16950.0,-1695000.0,100
07/04/2026,100M,100000000,DXG,BUY,100,12210.0,1221000.0,100
07/04/2026,250M,250000000,MBB,SELL,100,24620.0,-2462000.0,100
07/04/2026,250M,250000000,NLG,SELL,100,27180.0,-2718000.0,100
07/04/2026,250M,250000000,PDR,SELL,100,15700.0,-1570000.0,100
07/04/2026,250M,250000000,VCB,SELL,100,58000.0,-5800000.0,100
07/04/2026,250M,250000000,VND,BUY,100,15600.0,1560000.0,100
07/04/2026,500M,500000000,HDG,SELL,100,25280.0,-2528000.0,100
07/04/2026,500M,500000000,PDR,SELL,100,15700.0,-1570000.0,100
07/04/2026,500M,500000000,VIX,SELL,100,16950.0,-1695000.0,100
08/04/2026,50M,50000000,NLG,SELL,100,28800.0,-2880000.0,100
08/04/2026,50M,50000000,MBB,BUY,100,25580.0,2558000.0,100
08/04/2026,100M,100000000,DGW,SELL,100,44670.0,-4467000.0,100
08/04/2026,100M,100000000,DXG,SELL,100,13050.0,-1305000.0,100
08/04/2026,100M,100000000,TCH,SELL,100,17250.0,-1725000.0,100
08/04/2026,100M,100000000,NLG,SELL,100,28800.0,-2880000.0,100
08/04/2026,100M,100000000,VCB,SELL,100,60200.0,-6020000.0,100
08/04/2026,100M,100000000,VIC,BUY,100,153400.0,15340000.0,100
08/04/2026,100M,100000000,VSC,BUY,100,25400.0,2540000.0,100
08/04/2026,250M,250000000,DBC,SELL,100,20630.0,-2063000.0,100
08/04/2026,250M,250000000,TCH,SELL,100,17250.0,-1725000.0,100
08/04/2026,250M,250000000,HDG,SELL,100,26150.0,-2615000.0,100
08/04/2026,250M,250000000,VGC,BUY,100,45900.0,4590000.0,100
08/04/2026,500M,500000000,DGW,SELL,100,44670.0,-4467000.0,100
08/04/2026,500M,500000000,NLG,SELL,100,28800.0,-2880000.0,100
08/04/2026,500M,500000000,TCH,SELL,100,17250.0,-1725000.0,100
08/04/2026,500M,500000000,CII,SELL,100,18800.0,-1880000.0,100
